Kopelson Entertainment,2.42
STX Films,2.42
Overbrook Entertainment,2.41
International Film Investors,2.4
Balcor Film Investors,2.4
Spectacle Entertainment Group,2.4
Bona Fide Productions,2.39
Clubhouse Pictures (II),2.39
American Zoetrope,2.38
3 Arts Entertainment,2.38
Orion Pictures,2.37
Out of the Blue... Entertainment,2.37
The Lab of Madness,2.37
Paulilu Productions,2.37
Columbia Pictures Industries,2.36
Sciarlò,2.34
World Wrestling Entertainment (WWE),2.34
Casey Silver Productions,2.34
Votiv Films,2.34
Magnum Pictures Inc.,2.33
New Regency Productions,2.33
Slough Pond,2.33
Roth Films,2.33
Annapurna Pictures,2.33
Goldcrest Films International,2.32
Grand Slam Productions,2.32
Artbees,2.32
Lumière Pictures,2.31
Marv Films,2.31
Pop Pop Productions,2.3
Muse Productions,2.28
Ruby Films,2.28
Heyday Films,2.28
Kingsmere Properties,2.27
Barcelona Films,2.27
1978 Films,2.26
Newmarket Capital Group,2.25
Monsterfoot Productions,2.24
Metro-Goldwyn-Mayer (MGM),2.23
Front Films,2.23
Legendary East,2.23
Diagonal TV,2.23
JDI Productions,2.22
Open City Films,2.22
Klasky-Csupo,2.21
Haut et Court,2.21
SnowPiercer,2.21
Crowvision Inc.,2.2
Scott Rudin Productions,2.2
McFarlane Films,2.2
Bad Cop Bad Cop Film Productions,2.19
Concorde Pictures,2.18
House Row Productions,2.18
New World Pictures,2.17
Palace Pictures,2.17
Imagine Entertainment,2.17
C-2 Pictures,2.17
Freddie Fields Productions,2.16
Cheerleader LLC,2.16
Cruella Productions,2.16
BZ Entertainment,2.16
Melvin Simon Productions,2.15
Brandywine Productions,2.15
Gracie Films,2.15
Paramount Animation,2.14
Likely Story,2.13
Cinepro,2.12
Allan Zeman Productions,2.12
Camp Hill,2.11
Dino de Laurentiis Communications,2.11
Flan de Coco Films,2.11
Marcy Media,2.11
Aurora,2.1
Delphi III Productions,2.1
Beacon Communications,2.1
1984 Private Defense Contractors,2.1
Mann/Caan Productions,2.09
Black Entertainment Television (BET),2.09
LD Entertainment,2.08
Universal Pictures International (UPI),2.08
Pathé,2.08
Raindog Films,2.08
Fourth Protocol,2.07
New Horizons Picture,2.06
"Audiovisual Development Bureau, Ministerio da Cultura",2.06
Infinity Features Entertainment,2.06
All Girl Productions,2.05
Jones Entertainment Group,2.05
Bad Lt. Productions,2.04
O Entertainment,2.04
United Film Distribution Company (UFDC),2.03
Midwinter Productions Inc.,2.03
Mandalay Vision,2.03
Avery Pix,2.02
Banner Entertainment,2.02
GoldDay,2.02
Revolution Studios,2.0
This Is That Productions,2.0
Reel FX Creative Studios,2.0
Desert Hearts Productions,1.99
Clipsal Films,1.98
Circle Films,1.97
Amercent Films,1.97
Carolco Pictures,1.97
Intermedia Films,1.97
Heron Communications,1.95
BBC Films,1.95
Golan-Globus Productions,1.94
Alibaba Pictures,1.94
Bavaria Film,1.93
Gladden Entertainment,1.93
Studio 8,1.93
Canal+,1.92
Dog Run Pictures,1.92
K5 International,1.92
American Empirical Pictures,1.91
FilmColony,1.91
China Film Group Corporation (CFGC),1.91
Cross Creek Pictures,1.9
Bullwinkle Studios,1.9
Spinal Tap Prod.,1.89
Sycamore Pictures,1.89
Sparkle Roll Media,1.89
Open Road Films (II),1.88
Dino De Laurentiis Company,1.87
Blue Yonder Films,1.87
Bungalow Productions,1.86
The Halcyon Company,1.86
Capella Films,1.85
Overture Films,1.85
Rankin/Bass Productions,1.84
Vista Organization,1.84
Mandate Pictures,1.84
Night Life Inc.,1.83
Brant-Allen,1.83
R.P. Productions,1.83
Cottonwood Pictures,1.83
Geffen Pictures,1.82
Artimm,1.82
Cinema City Films,1.8
Epic Productions,1.8
Allied Vision,1.79
Astralwerks,1.78
Blue Askew,1.78
Dovemead Films,1.77
Applied Action,1.77
Silver Pictures,1.77
Leisure Investment Company,1.76
Capella International,1.76
Q Productions,1.76
Vanguard Films and Animation,1.76
Pan Arts,1.75
Film Partner International,1.75
Blue Train Productions,1.74
BBE,1.73
Phoenix Pictures,1.73
Beverly Detroit,1.73
Davis Entertainment,1.71
Stoney Lake Entertainment,1.71
Chester Films Inc.,1.7
Andrea Sperling Productions,1.7
Fear of God Films,1.7
Pathé Renn Productions,1.69
Abraham Productions,1.69
Four Seasons Partnership,1.69
International Cinema Corporation (ICC),1.68
American Filmworks,1.68
Go Films,1.68
Jet Tone Production,1.68
Steel Mill Pictures,1.68
Green/Renzi,1.67
Celandine Films,1.66
Beco Films,1.65
21 Laps Entertainment,1.65
Astrakan Films,1.65
Cave 76,1.65
Filmax Group,1.64
Young Hannibal Productions,1.64
AdScott Pictures,1.63
CJ Entertainment,1.61
Whitewater Films,1.61
IM Global,1.61
Vegahom Europe,1.6
Artisan Entertainment,1.6
Bluegrass Films,1.6
DeHaven/Shapiro Productions,1.59
Interscope Communications,1.59
Total Recall,1.59
James Glickenhaus,1.58
Cinépix Film Properties (CFP),1.58
Lewitt / Eberts Productions,1.58
Konrad Pictures,1.58
Chockstone Pictures,1.58
L.A. Films,1.57
Cannon Group,1.57
Village Roadshow Pictures,1.57
Apostle,1.57
Zentropa Entertainments,1.56
Fox Atomic,1.56
Natant,1.55
Castle Rock Entertainment,1.55
TaliaFilm II Productions,1.54
Empire Pictures,1.54
No Frills Film Production,1.54
Allied Filmmakers,1.53
Tomson Films,1.53
BRON Studios,1.53
Davis-Films,1.52
Eddie Murphy Productions,1.51
Caravan Pictures,1.51
1492 Pictures,1.51
Roadside Attractions,1.51
AMLF,1.5
Art Linson Productions,1.5
Endgame Entertainment,1.5
River Road Entertainment,1.5
Fine Line Features,1.49
Azoff Entertainment,1.48
Big Screen Productions,1.48
CTB Film Company,1.47
ABC Motion Pictures,1.46
Largo International N.V.,1.46
El Deseo,1.46
Atchafalaya,1.45
Tim Burton Productions,1.45
Entertainment Manufacturing Company,1.45
Tapestry Films,1.44
Hollywood Licensing Group,1.44
Zanuck/Brown Productions,1.43
Largo Entertainment,1.42
Block 2 Pictures,1.42
Dune Entertainment III,1.42
Incorporated Television Company (ITC),1.41
Angry Films,1.41
HanWay Films,1.41
ASIG Productions,1.41
Arcafin B.V.,1.4
Permut Presentations,1.4
BN Films,1.4
Bryna Productions,1.39
City Films,1.39
21st Century Film Corporation,1.39
Saturn Films,1.39
Stratus Film Co.,1.39
WIP,1.39
Capitol Films,1.39
Bad Bird Productions,1.38
Artists First,1.38
Lawrence Gordon Productions,1.37
Hill/Rosenman,1.37
Cinergi Pictures Entertainment,1.37
NDF International,1.37
Media Asia Films,1.37
Arcade Pictures,1.37
Brooksfilms,1.36
FAI Films,1.36
Ternion Pictures,1.36
Arka Mediaworks,1.36
Morgan Creek Entertainment,1.35
Channel Films,1.35
Space Rocket Nation,1.35
Cornelius Productions,1.34
Adventure Pictures,1.34
