star,hit rate,작품개수
Donnie Wahlberg,36.93712625,1
Donnie Yen,3.876601205128205,2
Doug Bradley,4.030245,1
Douglas Barr,5.123191,1
Douglas Smith,4.037064864864865,1
Dr. Dre,1.461333,1
Drake Bell,2.0448942857142858,1
Drew Barrymore,1.9386045655941815,13
Duane Martin,4.626377142857143,1
Dudley Moore,3.2644331008228984,7
Dustin Hoffman,4.532686233482143,8
Dwayne Adway,0.926364,1
Dwayne Johnson,3.242432377869481,22
Dylan McDermott,3.630282625,2
Dylan O'Brien,4.419205036016933,5
Ed Begley Jr.,0.0971544,1
Ed Harris,1.1765806380952382,4
Ed Helms,3.458974870967742,1
Ed O'Neill,0.2708193529411765,1
Ed Speleers,2.50425512,1
Eddie Deezen,0.0989033,1
Eddie Griffin,1.66417892,1
Eddie Murphy,3.3549395189786413,27
Eddie Redmayne,4.283416638111111,5
Edgar Ramírez,0.7612145916666666,2
Edith Meeks,3.14912,1
Edward Asner,4.200566297142857,1
Edward Burns,1.6744749941964285,4
Edward Furlong,0.8802943063725489,3
Edward James Olmos,0.817901875,1
Edward Norton,2.4300563352020204,6
Eileen Brennan,0.9762664666666667,1
Elaine Stritch,0.0486434,1
Elayn J. Taylor,4.176606666666666,1
Eli Marienthal,0.3311441,1
Elias Koteas,2.013029,1
Elias McConnell,3.3373406666666665,1
Elijah Wood,4.340192930388575,10
Elisabeth Moss,20.450142857142858,1
Elisabeth Shue,4.187977842261905,2
Elisha Cuthbert,0.6424235294117647,1
Eliza Dushku,2.2738551587301585,1
Elizabeth Banks,5.482236833333333,1
Elizabeth Berkley,0.45241386666666666,1
Elizabeth Daily,5.870611458333333,1
Elizabeth Hartman,2.095104714285714,1
Elizabeth Olsen,6.131064977272728,2
Elizabeth Reaser,9.078416222222222,1
Ellar Coltrane,12.0344165,1
Elle Fanning,3.073995217777778,3
Ellen Barkin,0.6777069499999999,2
Ellen Burstyn,1.6422462222222223,1
Ellen DeGeneres,5.14285471,1
Elliot Page,11.490842625730993,3
Elliott Gould,1.8333333333333333,1
Elsie Fisher,7.1737165,1
Embeth Davidtz,3.399228,1
